Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Kadaghari, K'",K,40271779.3,Kadaghari,18933333.33,5.0,11,2.0,W,35035732.01,15,22000000
"'Kadaghari, K'",K,40271779.3,Kadaghari,18933333.33,2.2,7,2.0,N,36524064.17,13,13200000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.2,5,3.0,N,36524064.17,13,19500000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,4.0,11,3.0,E,40021095.89,13,26500000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,4.0,11,3.0,N,36524064.17,13,25500000
"'Naikap, K'",K,40271779.3,Naikap,27187500.0,6.3,5,3.0,S,38378801.08,15,29500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,2.2,4,3.0,S,38378801.08,13,15000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,4,3.0,SE,41320000.0,10,19000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.3,4,3.0,S,38378801.08,20,23500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,5,3.0,NW,36240206.19,11,18000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.1,3,3.0,S,38378801.08,13,18500000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,4.2,7,3.0,SE,41320000.0,10,24500000
"'Sanepa, L'",L,34535434.84,Sanepa,71436842.11,3.0,2,1.0,W,35035732.01,13,4800000
"'Baghdol, L'",L,34535434.84,Baghdol,19500000.0,1.0,4,2.0,W,35035732.01,20,19500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,14.0,5,2.0,E,40021095.89,14,51000000
"'Nakhu, L'",L,34535434.84,Nakhu,31019047.62,4.0,4,2.0,E,40021095.89,16,26500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,3.0,2,3.0,W,35035732.01,12,15000000
"'Bazar, K'",K,40271779.3,Bazar,35333333.33,3.0,3,3.0,E,40021095.89,20,40000000
"'Mulpani, K'",K,40271779.3,Mulpani,20590909.09,11.0,6,3.0,E,40021095.89,20,17500000
"'Hattigauda, K'",K,40271779.3,Hattigauda,40888888.89,20.0,6,3.0,E,40021095.89,15,90000000
"'Manamaiju, K'",K,40271779.3,Manamaiju,31454545.45,2.2,4,3.0,E,40021095.89,10,13500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,3,1.0,N,36524064.17,14,11000000
"'Maharajgunj, K'",K,40271779.3,Maharajgunj,66125000.0,9.0,5,3.0,N,36524064.17,13,70000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,3.5,5,3.0,E,40021095.89,14,17900000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,7.0,5,3.0,SW,39995597.48,15,34500000
"'Basundhara, K'",K,40271779.3,Basundhara,40705882.35,7.0,7,3.0,E,40021095.89,20,41000000
"'Koteshwor, K'",K,40271779.3,Koteshwor,44111111.11,1.5,7,4.0,E,40021095.89,26,18500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,32.0,5,3.0,W,35035732.01,20,105000000
"'Hattigauda, K'",K,40271779.3,Hattigauda,40888888.89,6.0,9,5.0,S,38378801.08,14,36500000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,3.5,5,2.0,W,35035732.01,13,21000000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,3.5,2,1.0,N,36524064.17,12,7500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.3,2,1.0,E,40021095.89,13,13000000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,3.1,5,3.0,S,38378801.08,12,17800000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,3.5,5,3.0,NE,38939095.74,12,21800000
"'Basundhara, K'",K,40271779.3,Basundhara,40705882.35,3.1,4,2.0,S,38378801.08,15,23000000
"'Kadaghari, K'",K,40271779.3,Kadaghari,18933333.33,4.0,5,3.0,W,35035732.01,12,29000000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,1.0,3,2.0,N,36524064.17,20,70000000
"'Shantinagar, K'",K,40271779.3,Shantinagar,46114285.71,6.2,6,3.0,N,36524064.17,10,42500000
"'Pasikot, K'",K,40271779.3,Pasikot,37148571.43,4.0,5,3.0,W,35035732.01,20,30000000
"'Jhamsikhel, L'",L,34535434.84,Jhamsikhel,24875000.0,1.9,2,1.0,E,40021095.89,20,12000000
"'Kirtipur, K'",K,40271779.3,Kirtipur,21500000.0,4.2,6,3.0,S,38378801.08,12,25000000
"'Gurjudhara, K'",K,40271779.3,Gurjudhara,21375000.0,4.1,6,2.0,SE,41320000.0,11,17000000
"'Sanepa, L'",L,34535434.84,Sanepa,71436842.11,4.0,4,3.0,N,36524064.17,13,30000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,4.0,6,3.0,NW,36240206.19,15,24000000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,4.0,6,3.0,SE,41320000.0,14,24000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,5,3.0,E,40021095.89,13,21000000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,4.0,5,3.0,S,38378801.08,26,27500000
"'Nepaltar, K'",K,40271779.3,Nepaltar,23085714.29,4.0,11,3.0,N,36524064.17,13,24000000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,4.2,3,3.0,SW,39995597.48,18,28500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,10.0,4,3.0,E,40021095.89,15,62000000
"'Basundhara, K'",K,40271779.3,Basundhara,40705882.35,6.0,6,4.0,S,38378801.08,15,42500000
"'Hattigauda, K'",K,40271779.3,Hattigauda,40888888.89,4.0,5,3.0,E,40021095.89,30,24500000
"'Basundhara, K'",K,40271779.3,Basundhara,40705882.35,8.0,6,3.0,SW,39995597.48,15,45000000
"'Baluwatar, K'",K,40271779.3,Baluwatar,77346153.85,4.0,5,3.0,S,38378801.08,15,34000000
"'Jorpati, K'",K,40271779.3,Jorpati,21412500.0,7.89,4,3.0,E,40021095.89,12,21500000
"'Joranku, K'",K,40271779.3,Joranku,15450000.0,3.0,5,3.0,W,35035732.01,8,15900000
"'Gurjudhara, K'",K,40271779.3,Gurjudhara,21375000.0,3.1,2,1.0,W,35035732.01,10,8500000
"'Sanepa, L'",L,34535434.84,Sanepa,71436842.11,17.0,10,4.5,S,38378801.08,20,150000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,5.0,4,3.0,NE,38939095.74,15,30500000
"'Sukedhara, K'",K,40271779.3,Sukedhara,38941379.31,3.0,6,2.0,N,36524064.17,14,21000000
"'Tikathali, L'",L,34535434.84,Tikathali,21964285.71,3.2,6,3.0,E,40021095.89,12,22500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,3.3,3,3.0,E,40021095.89,20,33000000
"'Sukedhara, K'",K,40271779.3,Sukedhara,38941379.31,6.0,5,2.5,S,38378801.08,15,40000000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,3.0,2,1.0,S,38378801.08,10,10600000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,5.5,4,3.0,E,40021095.89,15,19000000
"'Basundhara, K'",K,40271779.3,Basundhara,40705882.35,5.0,5,3.0,S,38378801.08,14,39000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,10.0,4,2.0,S,38378801.08,13,39000000
"'Banasthali, K'",K,40271779.3,Banasthali,47525000.0,10.0,4,3.0,S,38378801.08,12,70000000
"'Kupandole, L'",L,34535434.84,Kupandole,65055555.56,16.1,9,4.0,SW,39995597.48,9,70000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,8.31,5,3.0,E,40021095.89,12,35000000
"'Makalbari, K'",K,40271779.3,Makalbari,23000000.0,3.2,2,1.0,SW,39995597.48,12,10500000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,3.0,3,3.0,N,36524064.17,10,12500000
"'Khumaltar, L'",L,34535434.84,Khumaltar,38023809.52,4.0,6,3.0,S,38378801.08,14,19500000
"'Bhaisepati, L'",L,34535434.84,Bhaisepati,47003669.23,24.0,3,2.0,E,40021095.89,20,97500000
"'Kalanki, K'",K,40271779.3,Kalanki,26308823.53,6.1,7,3.0,E,40021095.89,14,38000000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,7.0,4,3.0,SE,41320000.0,20,29500000
"'Bouddha, K'",K,40271779.3,Bouddha,61083333.33,3.1,10,3.0,S,38378801.08,20,22000000
"'Dadhikot, B'",B,29873684.19,Dadhikot,27625000.0,4.0,12,4.0,SE,41320000.0,20,22500000
"'Sitapaila, K'",K,40271779.3,Sitapaila,32122471.91,3.5,3,3.0,S,38378801.08,13,18000000
"'Sukedhara, K'",K,40271779.3,Sukedhara,38941379.31,6.3,9,4.0,E,40021095.89,12,34500000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,3.0,2,1.0,N,36524064.17,13,11500000
"'Basundhara, K'",K,40271779.3,Basundhara,40705882.35,5.0,2,3.0,N,36524064.17,14,37500000
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,4.2,4,3.0,S,38378801.08,26,32500000
"'Balkot, B'",B,29873684.19,Balkot,33999999.9,7.0,2,1.0,E,40021095.89,13,25000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,7.0,4,3.0,S,38378801.08,20,57500000
"'Dallu, K'",K,40271779.3,Dallu,36944444.44,3.1,8,3.0,W,35035732.01,20,29000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,3.1,7,2.0,N,36524064.17,15,17800000
"'Golfutar, K'",K,40271779.3,Golfutar,47734782.61,4.0,5,2.5,SW,39995597.48,15,29000000
"'Kalanki, K'",K,40271779.3,Kalanki,26308823.53,13.1,7,3.0,NE,38939095.74,15,6750000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,3.1,4,2.0,W,35035732.01,13,14200000
"'Kapan, K'",K,40271779.3,Kapan,24537096.77,5.0,2,1.0,S,38378801.08,11,15000000
"'Maharajgunj, K'",K,40271779.3,Maharajgunj,66125000.0,13.0,13,4.5,SE,41320000.0,14,70000000
"'Baniyatar, K'",K,40271779.3,Baniyatar,29888888.89,3.1,6,3.0,S,38378801.08,10,16500000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,7.5,6,3.0,W,35035732.01,15,53000000
"'Tokha, K'",K,40271779.3,Tokha,26794117.65,8.0,6,3.0,SE,41320000.0,12,43000000
