Location,Land Area,Beadrooms,Floor,Facing,Road Acess,Price
"'Thankot, K'",4,7,2.5,SW,12,16000000
"'Hattiban, L'",2.5,3,2.5,S,13,19500000
"'Harisiddhi, L'",3,4,2.5,S,13,23500000
"'Dhapakhel, L'",3,4,2.5,S,20,24500000
"'Tikathali, L'",3,6,2.5,S,13,28000000
"'Bhaisepati, L'",6,6,2.5,N,10,41000000
"'Syuchatar, K'",5.1,4,2.5,W,12,31500000
"'Safaray Dhunga, K'",6,4,2.5,NE,16,50000000
"'Bhangal, K'",5.5,3,2.5,NE,13,50000000
"'Bhaisepati, L'",5.5,6,2.5,E,16,52500000
"'Bhaisepati, L'",4.3,6,2.5,W,14,27000000
"'Safaray Dhunga, K'",4,8,2.5,S,13,32500000
"'Harisiddhi, L'",7,6,2.5,E,13,40000000
"'Kapan, K'",3.3,4,2.5,SE,15,24000000
"'Bhaisepati, L'",4.2,5,2.5,E,20,43500000
"'Sundar basti, K'",5,2,2.5,SE,13,40000000
"'Bansbari, K'",5.3,5,2.5,E,13,60000000
"'Hattiban, L'",2.3,4,2.5,S,13,23000000
"'Jhamsikhel, L'",3.1,6,2.5,N,14,42000000
"'Bhaisepati, L'",5.5,5,2.5,SE,20,67500000
"'Tikathali, L'",6,5,2.5,SE,13,49000000
"'Sitapaila, K'",3,3,2.5,S,20,18000000
"'Baluwakhani, K'",5.1,6,2.5,E,20,47500000
"'Budhanilkantha, K'",4,6,2.5,NE,13,35000000
"'Jorpati, K'",4.5,6,2.5,E,13,43500000
"'Safaray Dhunga, K'",3.5,4,2.5,E,13,27500000
"'Shantinagar, K'",4.1,7,2.5,E,20,57500000
"'Nakkhu, L'",4,7,2.5,E,12,39000000
"'Shantinagar, K'",4.5,6,2.5,E,20,45000000
"'Mahadevsthan, K'",4.5,4,2.5,W,15,24500000
"'Dhapakhel, L'",5,6,2.5,NE,13,39500000
"'Dhumbarahi, K'",3.5,6,2.5,NE,6,21500000
"'Thaiba, L'",4.5,4,2.5,S,13,21000000
"'Hattiban, L'",6.5,7,2.5,W,14,35000000
"'Bhangal, K'",3,5,2.5,S,13,21000000
"'Bhaisepati, L'",3.5,5,2.5,W,16,30000000
"'Pasikot, K'",5,6,2.5,E,20,47500000
"'Bhaisepati, L'",4,6,2.5,E,13,31000000
"'Kusunti, L'",5.5,6,2.5,E,13,42500000
"'Kusunti, L'",3.2,6,2.5,E,13,35000000
"'Mandikatar, K'",3,3,2.5,S,13,25000000
"'Dahachowk, K'",2.5,5,2.5,S,13,12500000
"'Sital height, L'",2.3,5,2.5,NE,13,23000000
"'Imadol, L'",3.5,6,2.5,E,16,29000000
"'Godawari, L'",3.3,6,2.5,E,13,29000000
"'Khumaltar, L'",5.5,6,2.5,E,20,47000000
"'Harisiddhi, L'",3.2,6,2.5,N,20,25000000
"'Ravi bhawan, K'",4,5,2.5,S,20,50000000
"'Imadol, L'",3,4,2.5,E,13,29900000
"'Tikathali, L'",4,7,2.5,NW,13,35500000
"'Tikathali, L'",2.2,6,2.5,W,13,25000000
"'Khumaltar, L'",5.2,5,2.5,SE,13,39000000
"'Imadol, L'",4,8,2.5,E,13,42500000
"'Sital Height, L'",4,6,2.5,E,13,45500000
"'Bhaisepati, L'",4.5,4,2.5,E,20,45000000
"'Pasikot, K'",5,6,2.5,E,13,33500000
"'Lubhu, L'",3.2,4,2.5,NE,13,21500000
"'Hattigauda, K'",6.5,4,2.5,W,16,36000000
"'Imadol, L'",4.5,6,2.5,N,13,39500000
"'Pasikot, K'",4.1,6,2.5,N,13,42000000
"'Thali, K'",3,4,2.5,E,10,14000000
"'Khumaltar, L'",10,5,2.5,NE,20,72500000
"'Bhaisepati, L'",5.5,4,2.5,N,13,65000000
"'Imadol, L'",3.1,5,2.5,S,13,31500000
"'Imadol, L'",3.1,5,2.5,S,13,29900000
"'Imadol, L'",3,4,2.5,S,13,26500000
"'Tikathali, L'",2.3,3,2.5,S,14,25000000
"'Chyasundol, K'",17,6,2.5,E,20,155000000
"'Imadol, L'",3.2,7,2.5,N,20,29000000
"'Bhangal, K'",5,4,2.5,W,30,40000000
"'Budhanilkantha, K'",3.1,6,2.5,W,16,32500000
"'Manbhawan, L'",16,5,2.5,SW,13,144000000
"'Budhanilkantha, K'",7,4,2.5,E,13,48000000
"'Budhanilkantha, K'",7,4,2.5,NE,13,50000000
"'Budhanilkantha, K'",4.1,5,2.5,SE,14,38000000
"'Bhangal, K'",5,6,2.5,E,20,39500000
"'Kapan, K'",4.5,5,2.5,SE,11,39500000
"'Mahalaxmi, L'",3,7,2.5,W,20,23000000
"'Harisiddhi, L'",3,5,2.5,N,20,27500000
"'Bhangal, K'",5,5,2.5,E,16,47500000
"'Balkot, B'",4,4,2.5,E,12,21500000
"'Balambu, K'",4.5,4,2.5,W,13,28000000
"'Kapan, K'",4.3,6,2.5,SE,13,29000000
"'Bhangal, K'",4.2,6,2.5,S,16,42500000
"'Nakhipot, L'",3.3,5,2.5,NE,26,36000000
"'Bhangal, K'",6,7,2.5,N,13,50000000
"'Bhangal, K'",6,5,2.5,E,15,36000000
"'Raniban, K'",5,7,2.5,SW,20,40000000
"'Kapan, K'",4.1,6,2.5,E,14,38000000
"'Tokha, K'",8,5,2.5,S,13,7000000
"'Chapali, K'",4.1,6,2.5,E,20,41000000
"'Chapali, K'",4.5,5,2.5,S,13,40000000
"'Imadol, L'",4.15,7,2.5,S,13,41500000
"'Deuba Chowk, K'",4.2,5,2.5,NE,20,43500000
"'Dadhikot, B'",13,5,2.5,N,26,95000000
"'Imadol, L'",5,5,2.5,W,13,57500000
"'Satdobato, L'",3.1,4,2.5,SE,13,30000000
"'Kapan, K'",4,6,2.5,SW,10,42500000
"'Tokha, K'",5.1,6,2.5,SE,13,45000000
"'Kadaghari, K'",3,6,2.5,S,13,24500000
"'Tikathali, L'",3.2,6,3,E,13,22500000
"'Imadol, L'",3.1,5,3,E,13,32000000
"'Imadol, L'",3,5,3,E,13,27500000
"'Imadol, L'",4.2,6,3,S,16,29000000
"'Imadol, L'",3.2,6,3,S,13,35500000
"'Imadol, L'",5.1,5,3,S,13,55000000
"'Imadol, L'",4.2,4,3,NW,13,29000000
"'Imadol, L'",4.1,7,3,SW,10,33000000
"'Tikathali, L'",3,6,3,E,13,26000000
"'Imadol, L'",3.2,5,3,S,20,26500000
"'Imadol, L'",3,5,3,S,13,26500000
"'Mahalaxmi, L'",3.1,7,3,N,20,31500000
"'Sital Height, L'",3.3,8,3,S,13,32000000
