Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Kapan, K'",K,37338387.72,Kapan,30985714.29,3.0,6,2.5,W,35438823.53,13,22000000
"'Dhalahiti, L'",L,33117499.99,Dhalahiti,42500000.0,4.25,6,2.5,S,31992462.31,14,42500000
"'Gothatar, K'",K,37338387.72,Gothatar,24946666.67,3.1,6,2.5,W,35438823.53,20,27500000
"'Dholahiti, L'",L,33117499.99,Dholahiti,57666666.67,5.0,5,2.5,E,36431958.76,13,48500000
"'Kapan, K'",K,37338387.72,Kapan,30985714.29,3.2,6,2.5,W,35438823.53,13,32500000
"'Kalanki, K'",K,37338387.72,Kalanki,43250000.0,5.0,5,2.5,E,36431958.76,13,65000000
"'Ganesh chowk, K'",K,37338387.72,Ganesh Chowk,40687500.0,4.0,6,2.5,W,35438823.53,13,38000000
"'Chapali, K'",K,37338387.72,Chapali,42900000.0,4.1,7,2.5,NE,34112500.0,13,41500000
"'Chunikhel, K'",K,37338387.72,Chunikhel,34472727.27,4.2,6,2.5,NW,33140350.88,13,38500000
"'Kapan, K'",K,37338387.72,Kapan,30985714.29,3.1,6,2.5,SE,38727272.73,13,30000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,3.1,6,2.5,W,35438823.53,13,32500000
"'Goldhunga, K'",K,37338387.72,Goldhunga,22375000.0,3.2,5,2.5,E,36431958.76,13,22000000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,4.0,4,2.5,N,32362162.15,13,36500000
"'Thulobharyang, K'",K,37338387.72,Thulobharyang,41375000.0,3.0,6,2.5,NE,34112500.0,13,36500000
