Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Sukedhara, K'",2.2,4,2.5,N,13,17000000.0
"Lubhu, L'",3.1,5,2.5,S,11,15000000.0
"Ram Mandir, K'",3.5,5,4.0,NE,26,37500000.0
"Sano thimi, B'",8.0,6,4.0,E,20,50000000.0
"Chapali, K'",5.0,6,2.5,N,18,39000000.0
"Aakasedhara, K'",4.0,5,2.5,N,10,19000000.0
"Paiyatar, K'",4.2,6,2.5,E,12,22000000.0
"Ganesh Chowk, K'",4.2,4,2.5,S,13,32500000.0
"Naya Basti, K'",5.0,7,3.0,E,10,28000000.0
"Thankot, K'",4.0,4,2.5,N,13,16500000.0
"Hattiban, L'",9.0,2,1.0,SW,20,38000000.0
"Hattiban, L'",3.2,3,2.5,W,20,32500000.0
"Gaurighat, K'",7.0,9,5.0,S,10,60000000.0
"Lolang, K'",3.0,6,2.0,N,18,15500000.0
"Goldhunga, K'",3.0,5,2.0,S,13,15000000.0
"Pasikot, K'",9.0,6,3.5,E,16,60000000.0
"Koteshwor, K'",2.2,6,2.5,E,12,27500000.0
"Bhangal, K'",4.1,5,2.5,NW,13,22000000.0
"Sai Baba chowk, K'",4.0,6,2.5,E,13,25000000.0
"Greenland Chowk, K'",9.0,7,2.5,E,10,45000000.0
"Sundarbasti, K'",3.2,6,2.5,S,12,20000000.0
"Imadol, L'",3.0,5,2.5,E,20,21000000.0
"Chapali, K'",5.0,5,2.5,NW,12,44000000.0
"Bhaisepati, L'",4.0,3,2.5,N,16,40000000.0
"Bhaisepati, L'",5.0,4,2.5,E,15,36000000.0
"Imadol, L'",2.3,4,2.5,N,13,18000000.0
"Saraswotinagar, K'",7.0,4,2.5,NE,13,40000000.0
"Imadol, L'",3.2,6,2.5,E,16,23500000.0
"Bhimsengola, K'",7.2,4,2.5,N,16,65000000.0
"Special Court, K'",10.0,5,2.5,NE,12,62500000.0
"Chandol, K'",4.0,4,2.5,W,16,34000000.0
"Bhaisepati, L'",3.2,4,2.5,N,13,24500000.0
"Kadaghari, K'",3.0,6,2.5,SW,13,24000000.0
"Bhangal, K'",3.1,5,2.5,NW,13,18500000.0
"Sundarbasti, K'",3.1,5,2.5,N,13,20000000.0
"Sipadol, B'",4.1,5,2.5,S,13,22000000.0
"Bansbari, K'",7.2,6,2.5,W,20,52000000.0
"Bhatkepati, K'",6.0,4,2.5,N,20,25000000.0
"Dadhikot, B'",4.0,12,3.5,SE,20,25000000.0
"Dhungedhara, K'",4.1,7,2.5,SW,13,29800000.0
"Kusunti, L'",4.3,4,2.5,SE,20,31000000.0
"Chabahil, K'",4.2,8,3.0,W,20,32000000.0
"Sitapaila, K'",3.2,4,2.5,S,20,27000000.0
"Radhe Radhe, B'",4.3,4,2.5,E,20,27000000.0
"Imadol, L'",4.0,6,3.5,SE,13,23000000.0
"Nakhu, L'",3.0,3,2.5,W,13,23000000.0
"Golfutar, K'",4.0,3,1.0,SE,13,16000000.0
"Nakhu, L'",4.0,4,2.5,S,14,30000000.0
"Sundarbasti, K'",4.0,4,2.5,SE,12,25000000.0
"Kusunti, L'",4.0,5,2.5,S,15,27500000.0
"Bhaisepati, L'",5.0,4,2.5,S,13,36000000.0
"Nakhu, L'",3.0,3,2.5,N,13,23000000.0
"Dhapakhel, L'",4.0,7,2.5,S,20,29000000.0
"Imadol, L'",5.2,7,2.5,W,13,25000000.0
"Sukedhara, K'",3.1,10,4.0,W,25,28000000.0
"Imadol, L'",5.3,6,2.5,E,16,29500000.0
"Bhaisepati, L'",5.0,5,2.5,SW,13,33500000.0
"Dhapasi, K'",4.0,5,2.5,NE,13,37500000.0
"Sallaghari, B'",4.0,6,2.5,SW,13,25000000.0
"Srijananagar, B'",3.3,5,2.5,E,8,16000000.0
"Dhungedhara, K'",4.0,5,2.5,N,13,27500000.0
"Sukedhara, K'",2.3,5,2.5,N,13,16000000.0
"Mulpani, K'",3.0,5,2.5,W,8,14000000.0
"Dahachowk, K'",2.4,4,2.5,W,18,18000000.0
"Thecho, L'",5.3,7,3.5,S,12,27500000.0
"Nakhipot, L'",3.1,4,2.5,E,15,23500000.0
"Dhapasi, K'",4.0,5,3.0,SW,28,30000000.0
"Deuba Chowk, K'",6.0,4,2.5,N,15,47000000.0
"Shankhamul, K'",3.0,12,5.5,E,12,51000000.0
